alue: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Event. Dev: orionrc, Type: 1, Code: 79, Value: 2
evbug.c: Event. Dev: orionrc, Type: 0, Code: 0, Value: 0
evbug.c: Disconnected device: orionrc
